legal_text,simplified_text,source_judgment,source_summary,pair_type
"The said Anirudh Kumar Singh had requested the present petitioner, who was running another drug distributorship in the name of ANM Pharmaceuticals to run his distributorship and accordingly executed a Power of Attorney dated 21.01.2021 in favour of the petitioner on the strength of which, the petitioner is running the business of M s.","the said anirudh kumar singh had requested the present person making the request, who was running another drug distributorship in the name of anm pharmaceuticals to run his distributorship and accordingly executed a power of attorney dated 21.01.2021 in favour of the person making the request on the strength of which, the person making the request is running the business of m s.",EN_Summary.txt,EN_Summary.txt,judgment_summary
Hematech Pharmaceuticals.,hematech pharmaceuticals.,EN_Summary.txt,EN_Summary.txt,judgment_summary
"The Court by order dated 07 July, 2021 after going through the Case Diary had noticed that there was an issue as to whether the GST invoices are manufactured or genuine and accordingly, directed the Investigating Officer to file a report.","the court by order dated 07 july, 2021 after going through the case diary had noticed that there was an issue as to whether the gst invoices are manufactured or genuine and accordingly, directed the investigating officer to file a report.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"However, in the meantime, an interim order was granted in favour of the petitioner.","however, in the meantime, an temporary order was granted in favour of the person making the request.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"Court recorded in the present order that on the last date of hearing the updated Case Diary was produced which contains the statements of Shri Arup Kanti Ghosh, the proprietor of M s.","court recorded in the present order that on the last date of hearing the updated case diary was produced which contains the statements of shri arup kanti ghosh, the proprietor of m s.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"Nalini Drugs Distributor along with the note of the IO, who had visited the location.","nalini drugs distributor along with the note of the io, who had visited the location.",EN_Summary.txt,EN_Summary.txt,judgment_summary
It was observed that the proprietor has specifically stated that no consignment of the present nature was ever made and all medicines for the Pharmacy are collected from local stockists and on no occasion any medicines were procured from beyond the Barrack Valley.,it was observed that the proprietor has specifically stated that no consignment of the present nature was ever made and all medicines for the pharmacy are collected from local stockists and on no occasion any medicines were procured from beyond the barrack valley.,EN_Summary.txt,EN_Summary.txt,judgment_summary
The proprietor has also suspected some foul play regarding the license.,the proprietor has also suspected some foul play regarding the license.,EN_Summary.txt,EN_Summary.txt,judgment_summary
"Petitioner argued that after the interim order dated 06.07.2021, the petitioner had appeared before the IO on 15.07.2021 and there is no instance of any misuse.","person making the request argued that after the temporary order dated 06.07.2021, the person making the request had appeared before the io on 15.07.2021 and there is no instance of any misuse.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"With regard to the material submitted in the updated diary including the statement of Shri Arup Kanti Ghosh, the learned counsel has submitted that perhaps to avoid any complicacy, the proprietor has simply tried to wriggle out of the matter.","with regard to the material submitted in the updated diary including the statement of shri arup kanti ghosh, the learned counsel has submitted that perhaps to avoid any complicacy, the proprietor has simply tried to wriggle out of the matter.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"The Additional Public Prosecutor appearing for State submitted that from the very initiation of movement of the consignment involving a huge number of bottles in cartoons which admittedly is a psychotropic substance under the NDPS Act as the cough syrup contains a substance called Codeine, there are anomalies illegalities at different stages including GST invoices and therefore, the present may not be a fit case to continue with the interim protection granted to the petitioner.","the additional public prosecutor appearing for state submitted that from the very initiation of movement of the consignment involving a huge number of bottles in cartoons which admittedly is a psychotropic substance under the ndps act as the cough syrup contains a substance called codeine, there are anomalies illegalities at different stages including gst invoices and therefore, the present may not be a fit case to continue with the temporary protection granted to the person making the request.",EN_Summary.txt,EN_Summary.txt,judgment_summary
The thrust of arguments by the petitioner was on the fact that subsequent generation of bills can at best be a violation of the GST Act and cannot be a violation of the NDPS Act.,the thrust of arguments by the person making the request was on the fact that subsequent generation of bills can at best be a violation of the gst act and cannot be a violation of the ndps act.,EN_Summary.txt,EN_Summary.txt,judgment_summary
Petitioners had also contended that though the articles are psychotropic substances it will come under the exception of Section 8(c) of the Act and transportation of the same with necessary documents is available under proviso to Rule 67(4) of the NDPS Rules.,petitioners had also contended that though the articles are psychotropic substances it will come under the exception of section 8(c) of the act and transportation of the same with necessary documents is available under proviso to rule 67(4) of the ndps rules.,EN_Summary.txt,EN_Summary.txt,judgment_summary
"The Court directed the IO of the case to make all efforts to investigate the case so that the persons involved in the heinous offence involved in the NDPS Act can be put to book, strictly in accordance with law.","the court directed the io of the case to make all efforts to investigate the case so that the persons involved in the heinous offence involved in the ndps act can be put to book, strictly in accordance with law.",EN_Summary.txt,EN_Summary.txt,judgment_summary
"Considering the very object of the Act, namely to curb the menace of drugs and its ill effects on the society which has the propensity to destroy the generation as a whole, It was held that no case for grant of anticipatory bail was made out.","considering the very object of the act, namely to curb the menace of drugs and its ill effects on the society which has the propensity to destroy the generation as a whole, it was held that no case for grant of anticipatory bail was made out.",EN_Summary.txt,EN_Summary.txt,judgment_summary
The Court also clarified that the observation made are tentative in nature and shall not cause prejudice to either of the parties in the trial.,the court also clarified that the observation made are tentative in nature and shall not cause prejudice to either of the parties in the trial.,EN_Summary.txt,EN_Summary.txt,judgment_summary
"In view of the above discussion, the bail application was rejected.","in view of the above discussion, the bail application was rejected.",EN_Summary.txt,EN_Summary.txt,judgment_summary
